SMILES_RepeatUnit_1,SMILES_Monomer_0,MD,RepeatUnit_1_MFF_GPR,RepeatUnit_1_MFF_Lasso,RepeatUnit_1_MFF_RF,RepeatUnit_1_MFF_SVM,RepeatUnit_1_MFF_DNN,RepeatUnit_1_MFF_CNN,RepeatUnit_1_MF_GPR,RepeatUnit_1_MF_Lasso,RepeatUnit_1_MF_RF,RepeatUnit_1_MF_SVM,RepeatUnit_1_MF_DNN,RepeatUnit_1_MF_CNN,RepeatUnit_1_ME_GPR,RepeatUnit_1_ME_Lasso,RepeatUnit_1_ME_RF,RepeatUnit_1_ME_SVM,RepeatUnit_1_ME_DNN,RepeatUnit_1_ME_CNN,RepeatUnit_1_Descriptor_GPR,RepeatUnit_1_Descriptor_Lasso,RepeatUnit_1_Descriptor_RF,RepeatUnit_1_Descriptor_SVM,RepeatUnit_1_Descriptor_DNN,RepeatUnit_1_Descriptor_CNN,Polymerized_16_ME_GPR,Polymerized_16_ME_Lasso,Polymerized_16_ME_RF,Polymerized_16_ME_SVM,Polymerized_16_ME_DNN,Polymerized_16_ME_CNN,Polymerized_16_Descriptor_GPR,Polymerized_16_Descriptor_Lasso,Polymerized_16_Descriptor_RF,Polymerized_16_Descriptor_SVM,Polymerized_16_Descriptor_DNN,Polymerized_16_Descriptor_CNN,Polymerized_16_MFF_GPR,Polymerized_16_MFF_Lasso,Polymerized_16_MFF_RF,Polymerized_16_MFF_SVM,Polymerized_16_MFF_DNN,Polymerized_16_MFF_CNN,Polymerized_16_MF_GPR,Polymerized_16_MF_Lasso,Polymerized_16_MF_RF,Polymerized_16_MF_SVM,Polymerized_16_MF_DNN,Polymerized_16_MF_CNN,Monomer_0_MFF_GPR,Monomer_0_MFF_Lasso,Monomer_0_MFF_RF,Monomer_0_MFF_SVM,Monomer_0_MFF_DNN,Monomer_0_MFF_CNN,Monomer_0_MF_GPR,Monomer_0_MF_Lasso,Monomer_0_MF_RF,Monomer_0_MF_SVM,Monomer_0_MF_DNN,Monomer_0_MF_CNN,Monomer_0_ME_GPR,Monomer_0_ME_Lasso,Monomer_0_ME_RF,Monomer_0_ME_SVM,Monomer_0_ME_DNN,Monomer_0_ME_CNN,Monomer_0_Descriptor_GPR,Monomer_0_Descriptor_Lasso,Monomer_0_Descriptor_RF,Monomer_0_Descriptor_SVM,Monomer_0_Descriptor_DNN,Monomer_0_Descriptor_CNN,Monomer_0_CNN,RepeartUnit_1_CNN,Monomer_0_RNN,RepeartUnit_1_RNN,GCNN_Monomer,GCNN_RepeatUnit_1,GCNN_Polymerized_16
*Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)Oc1c(cc(cc1)C(=O)c1cc(c(cc1)*)S(=O)(=O)O)S(=O)(=O)O,c1(c2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)O)ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)O.Clc1c(S(=O)(=O)O[Na])cc(cc1)C(=O)c2cc(S(=O)(=O)O[Na])c(Cl)cc2,151.7193386,215.54,178.95,237.30,180.35,220.83,199.93,205.46,200.77,206.48,187.38,194.01,193.15,208.72,217.12,216.00,209.22,149.52,196.08,180.40,166.30,206.15,175.44,188.13,182.30,214.55,213.62,238.40,215.20,181.37,154.71,146.41,178.23,226.23,180.77,181.47,177.35,283.18,193.98,286.41,213.22,202.48,203.58,254.93,197.32,233.23,190.49,183.47,196.24,303.49,178.58,314.86,172.45,245.95,201.81,282.79,213.40,250.90,206.80,209.42,211.86,305.05,211.19,299.44,226.78,194.31,200.17,324.05,141.87,322.31,134.97,173.86,194.32,322.54,212.08,264.49,204.68,267.14,188.88,159.00
*c1c2c(nsn2)c(cc1)c1sc(c(c1)CCCCCC)C=Cc1sc(c(c1CCCCCC)CCCCCC)C=Cc1sc(cc1CCCCCC)*,CCCCCCc4cc(c2ccc(c1cc(CCCCCC)c(C=O)s1)c3nsnc23)sc4C=O.CCCCCCc1c(CP(=O)(OCC)OCC)sc(CP(=O)(OCC)OCC)c1CCCCCC,17.9542177,90.70,77.44,94.34,69.22,67.06,76.46,140.09,120.11,117.41,103.82,121.18,111.85,122.18,108.38,96.93,150.77,93.36,132.98,69.87,109.43,80.29,76.29,84.73,71.40,115.93,72.56,80.27,48.74,138.92,91.19,129.20,66.75,86.46,61.37,77.61,87.50,93.78,60.10,90.57,44.88,97.67,87.28,118.77,115.55,112.44,103.35,88.42,108.86,67.12,20.94,78.55,15.02,0.86,46.18,97.30,87.30,85.60,83.61,98.29,92.98,51.97,37.24,84.55,52.35,-5.87,49.71,52.76,31.12,77.09,31.50,58.56,72.58,75.80,77.18,44.57,64.94,82.52,68.26,58.36
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)Oc2ccc(cc2)Oc2ccc(cc2)NC(=O)c2ccc(cc2)*)cc1,Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)cc2)cc1.ClC(=O)c1ccc(cc1)N2C(=O)c3ccc(cc3C2=O)c4cccc5C(=O)N(C(=O)c54)c6ccc(cc6)C(=O)Cl,178.6163373,290.73,286.63,257.16,299.40,284.09,267.26,259.74,283.33,259.88,278.63,283.76,251.74,274.84,298.73,254.30,311.75,257.42,271.02,262.70,259.10,249.04,263.70,227.39,247.76,266.20,285.42,262.31,289.51,246.81,241.88,262.37,276.69,257.42,273.48,270.63,254.34,283.25,292.16,257.47,296.04,262.30,255.71,256.52,278.73,258.80,271.97,269.91,262.26,272.80,270.44,259.07,275.88,254.01,285.67,277.38,278.96,273.84,279.98,273.05,269.45,278.31,269.12,249.95,272.90,260.62,266.97,258.19,275.19,253.65,274.84,273.04,269.32,325.70,327.54,250.59,263.89,283.46,275.65,243.90
*c1cc2n(c3c(c2cc1CCCCCC)cc(c(c3)C=C*)CCCCCC)CCCCCCCC,CCCCCCc1c(C(=O))cc2n(CCCCCCCC)c3cc(C(=O))c(CCCCCC)cc3c2c1.CCCCCCc1c(CP(=O)(OCC)OCC)cc2n(CCCCCCCC)c3cc(CP(=O)(OCC)OCC)c(CCCCCC)cc3c2c1,45.45691415,44.82,50.16,98.26,38.38,38.92,67.47,84.31,72.64,71.80,65.13,93.83,78.64,82.21,63.07,65.45,66.67,67.60,108.00,79.92,70.70,48.93,63.01,64.15,50.53,91.14,92.38,53.62,76.88,94.92,91.92,125.48,70.32,46.17,64.52,58.10,65.60,63.62,51.26,87.52,36.24,10.31,83.71,40.35,62.94,44.63,56.91,57.48,70.21,27.65,9.60,71.74,-11.07,-6.14,63.34,112.65,92.90,98.24,68.27,89.20,82.72,51.77,15.64,81.50,22.56,52.96,80.85,32.36,33.80,87.88,51.31,79.95,85.72,128.42,62.50,39.41,110.64,67.76,111.90,78.84
*C#CC(=C(*)c1cncnc1)CCCCOC(=O)NCC(=O)OCCCC,CCCCOC(=O)CNC(=O)OCCCCC#CC#Cc1cncnc1,73.99227071,76.49,66.86,0.09,65.11,48.81,27.23,67.74,114.10,52.20,91.13,127.68,97.71,77.09,50.44,35.53,46.35,57.19,81.97,42.16,79.75,40.34,77.26,54.23,50.98,67.80,-8.24,37.92,58.23,52.88,79.60,47.49,64.47,40.85,75.60,51.27,38.02,89.94,64.96,-4.54,65.15,78.49,37.39,64.24,114.69,57.09,92.40,102.59,93.32,134.93,48.12,47.77,50.72,92.20,67.54,137.06,93.17,68.24,67.77,88.43,89.91,38.82,47.92,72.59,96.54,62.78,94.42,27.15,65.12,75.07,73.15,60.64,77.66,6.42,45.85,38.93,-4.07,124.87,31.22,60.56
*OC(=O)c1ccc(cc1)C(=O)NCCCNC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCC*,OCCCCCCCCCCO.COC(=O)c1ccc(cc1)C(=O)NCCCNC(=O)c2ccc(cc2)C(=O)OC,76.72929425,104.52,53.83,116.10,59.45,96.49,70.95,99.42,29.92,105.78,43.90,57.90,79.46,79.63,76.63,62.86,71.95,80.39,121.80,72.40,69.50,59.40,74.23,55.04,61.18,69.26,81.47,64.96,77.65,98.60,79.38,64.18,62.10,69.02,67.79,58.41,67.66,99.65,59.60,92.51,57.72,43.54,64.07,92.63,30.14,104.14,40.36,61.95,67.72,83.24,36.85,29.42,44.73,70.84,63.31,64.88,35.19,40.41,32.24,37.25,24.94,94.60,66.25,68.32,63.82,72.82,81.55,47.71,47.59,41.81,56.23,39.20,35.13,54.41,99.13,52.68,51.26,85.69,82.23,42.02
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1c(cc(cc1)C(c1cc(c(cc1)*)[N-][N+]#N)(C)C)[N-][N+]#N,,181.1592195,192.78,183.09,188.71,185.51,198.67,186.85,210.94,188.65,188.20,176.74,192.64,171.08,125.63,302.87,191.84,165.76,278.17,225.70,182.66,182.95,168.95,174.59,207.57,212.62,112.56,288.83,217.95,182.32,227.42,170.86,179.64,164.93,190.82,156.58,147.12,170.02,189.31,185.67,187.02,192.53,201.89,197.75,205.46,186.63,187.10,178.93,187.06,191.01,,,,,,,,,,,,,,,,,,,,,,,,,,216.98,,203.12,,273.24,192.17
*c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)*,CCCCCCCCc1c(Br)sc(c2sc(Br)cc2(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)(F)))c1,6.476080227,59.89,66.61,48.81,56.58,20.09,48.08,32.99,52.22,39.96,52.20,30.76,45.48,46.80,57.94,54.18,59.44,31.84,82.36,76.45,80.26,39.12,71.86,48.85,42.51,71.36,51.89,62.53,45.65,43.62,38.01,49.69,44.60,66.15,48.39,62.36,30.82,62.97,49.01,53.97,41.63,32.39,48.06,38.72,48.31,38.18,47.27,47.30,49.41,40.82,49.86,26.29,31.08,24.47,47.88,21.57,58.15,70.33,37.02,53.63,68.00,50.92,19.12,42.00,1.31,41.54,16.86,40.59,59.36,33.75,59.13,49.62,50.22,51.57,9.65,46.45,31.34,9.42,38.26,-3.54
*c1c2C(=O)N(C(=O)c2c(c2ccccc12)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)*)c1c(cccc1)F,Oc1ccc(cc1)c1c2c(c(c3c1C(=O)N(C3=O)c4c(F)cccc4)c1ccc(cc1)O)cccc2.Fc1ccc(cc1)S(=O)(=O)c2ccc(F)cc2,314.5599695,307.61,279.35,265.75,267.99,330.81,262.27,309.56,279.52,277.88,271.86,315.27,300.74,289.90,262.56,274.65,267.37,303.80,276.47,293.06,250.96,252.50,254.24,275.24,268.70,294.89,272.52,281.57,278.15,272.93,235.74,283.99,251.29,254.15,243.45,249.95,260.05,306.37,275.91,269.81,266.20,280.79,270.94,308.04,276.55,288.32,267.69,301.44,292.40,298.99,261.89,277.84,268.89,289.35,270.92,320.40,257.94,283.51,244.79,279.97,272.48,293.80,262.64,277.97,277.87,305.73,286.16,317.35,246.22,277.51,240.95,255.98,268.24,314.73,319.04,257.55,275.63,291.01,296.80,275.93
*NC(=O)CCCCCCCCCCC(=O)NCC1CC(CCC1)C*,NCC1CCCC(CN)C1.OC(=O)CCCCCCCCCCC(=O)O,26.18556129,69.81,82.90,69.11,82.03,78.57,71.40,77.17,74.46,90.53,70.15,66.02,97.36,84.45,111.92,67.35,118.25,70.99,108.63,91.16,65.74,84.70,55.74,63.78,96.03,86.17,109.36,76.34,100.79,89.59,89.30,88.20,64.85,88.94,50.50,60.47,80.09,75.63,81.44,65.66,93.01,89.28,64.48,72.19,74.44,88.80,68.58,78.30,95.89,80.66,73.77,71.15,84.79,92.66,57.66,110.38,44.43,107.50,42.24,42.48,70.29,81.36,75.63,57.84,94.06,74.50,91.46,93.39,79.49,82.41,71.42,61.03,89.42,113.41,101.51,54.38,67.29,96.72,101.28,76.35
*Nc1ccc(cc1)NC(=O)c1cc(cc(c1)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(=O)*,Nc1ccc(N)cc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc(cc(c1)C(=O)Cl)C(=O)Cl,235.6895845,242.68,181.00,288.34,188.30,209.99,222.23,306.42,244.47,283.69,247.09,281.38,270.13,208.07,187.75,149.19,193.15,171.74,177.99,169.86,183.41,187.20,180.73,151.79,182.85,221.97,181.80,192.03,176.91,173.99,186.89,193.90,173.75,191.20,163.91,162.81,167.24,243.47,175.33,272.23,190.71,245.22,231.37,307.07,242.87,290.15,246.49,252.19,280.31,229.33,215.84,246.29,214.30,252.07,234.51,274.77,257.52,254.89,268.72,270.05,245.49,218.06,192.34,161.26,182.38,206.91,207.34,205.16,208.55,233.38,193.80,201.09,197.17,196.94,250.53,221.08,241.97,241.88,281.07,168.97
*c1c(cc(c(c1)O)O)*,Oc1ccccc1O,158.9171015,148.63,146.29,134.30,145.06,145.82,153.79,158.61,154.71,139.58,150.66,158.93,139.97,194.70,139.87,141.83,142.45,144.88,190.15,242.11,186.14,173.77,129.92,185.96,203.64,200.44,110.02,135.30,132.47,133.02,200.53,205.12,203.32,125.50,159.07,242.38,227.37,143.30,139.66,141.57,149.25,151.74,154.52,159.53,172.50,149.90,163.77,162.20,163.14,105.27,106.35,97.04,104.90,110.21,107.10,141.10,114.76,180.62,122.86,121.18,125.55,126.79,99.96,106.82,99.49,57.50,124.41,169.06,143.96,114.35,105.74,124.92,122.46,80.72,156.96,74.28,163.29,86.57,237.71,194.11
*Oc1ccc(cc1)C(=Cc1ccc(cc1)OCCCCCCC*)C,CC(=Cc1ccc(O)cc1)c2ccc(O)cc2.BrCCCCCCCBr,36.76976951,44.90,72.13,28.05,72.98,64.91,42.82,27.66,23.70,50.76,21.51,53.65,29.45,56.79,100.22,39.13,98.94,71.71,67.44,58.02,72.57,55.26,78.41,42.39,40.69,46.89,86.44,39.42,86.57,46.91,51.78,49.16,72.51,55.34,79.27,54.82,36.81,56.57,85.64,32.60,88.45,56.36,28.93,22.13,19.15,49.64,19.45,33.18,33.18,66.40,96.10,40.40,93.20,44.78,55.42,72.59,52.22,39.01,73.48,47.31,41.92,67.39,78.33,48.21,87.65,68.41,40.14,50.49,92.33,71.14,81.23,91.14,74.33,65.70,63.02,65.95,49.87,38.26,59.02,37.36
*C(=C(*)C)[Si](CC)(C)C,CC[Si](C)(C)C#CC,157.1009863,139.10,120.79,172.39,115.50,125.47,92.38,127.61,78.42,160.25,62.85,57.73,77.08,132.20,111.74,87.14,118.87,76.92,98.06,156.77,32.68,162.78,18.61,27.67,39.08,148.16,136.44,99.64,111.64,177.82,84.46,144.34,25.66,174.64,29.40,-3.55,29.33,112.66,104.39,176.59,103.50,130.19,81.88,137.83,77.92,145.56,64.87,80.33,88.65,66.33,68.67,152.29,73.22,40.71,38.67,89.40,22.40,147.50,15.14,25.77,6.80,188.57,148.65,133.86,162.59,146.00,163.83,189.02,14.25,168.55,18.56,5.69,41.45,31.79,153.10,-2.11,114.38,223.03,181.49,179.87
*OC(=O)CCCCCCCC(=O)*,OC(=O)CCCCCCCC(=O)O,-68.69432556,14.27,48.19,19.81,44.28,20.60,14.18,25.45,-0.67,24.63,-2.83,-4.97,19.47,13.23,41.50,-2.49,37.35,-10.12,25.27,-26.66,34.50,-21.26,29.58,13.04,10.77,-4.15,40.51,-11.65,32.24,9.23,-6.22,-12.68,21.38,-26.41,15.83,16.19,-6.19,8.34,48.43,29.50,50.34,26.20,7.67,19.18,-7.19,38.92,-8.90,-0.53,5.43,-5.09,31.32,-5.52,31.29,20.84,-4.45,1.25,-10.49,-4.80,-14.10,0.81,-1.18,-18.50,35.02,-10.46,37.35,-3.99,6.25,-5.33,16.64,-24.21,13.94,2.97,6.45,1.36,4.54,-8.56,-2.11,-15.44,-18.42,-40.40
*OC(=O)c1ccc(cc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)C(=O)OCCCCCCCCCCCC*,Nc1ccc(cc1)C(=O)OCCCCCCCCCCCCOC(=O)c2ccc(N)cc2.ClC(=O)CCCCCCCCCCC(=O)Cl,-26.12929226,110.07,11.97,86.42,13.44,94.25,89.54,74.52,33.48,48.20,46.01,58.94,74.18,92.11,41.13,52.05,29.60,71.15,117.38,74.79,31.62,53.35,31.84,37.05,65.97,79.68,43.70,56.82,33.89,45.28,67.25,51.73,12.72,63.80,21.16,31.03,61.87,92.35,19.53,70.90,20.96,66.53,61.57,76.14,29.96,70.77,40.75,61.77,80.37,101.77,94.69,105.05,103.45,81.58,77.34,70.81,101.47,75.69,99.32,91.00,71.79,63.18,104.69,52.54,88.75,74.87,124.70,44.66,95.28,99.09,96.02,78.08,86.84,99.32,48.50,140.14,119.13,112.31,104.89,37.09
*c1c(cc(c(c1)OCCCCCCCCCC)*)OCCCCCCCCCC,Brc1c(cc(c(c1)OCCCCCCCCC)[Mg]Br)OCCCCCCCCC,5.423112055,63.65,39.56,21.32,23.50,41.30,20.76,61.91,25.83,65.47,19.31,36.50,51.59,43.19,54.29,-10.62,40.26,9.69,51.56,37.51,15.51,66.67,7.76,11.19,15.36,20.45,31.59,-27.19,15.08,18.92,18.57,48.15,0.67,18.41,1.27,15.01,15.53,49.66,28.47,26.76,25.58,28.75,16.66,53.12,41.12,67.08,27.49,46.85,48.85,41.83,33.30,16.67,28.24,39.63,21.21,66.82,27.45,60.14,13.65,35.27,55.68,69.95,28.23,13.91,24.34,25.85,30.66,48.14,-15.43,23.57,-23.50,-7.14,-26.11,6.74,-11.79,35.52,34.58,34.74,12.48,9.16
*C(C(=O)*)(C)C,CC1(C)CC(C)(C)C(=O)O1,105.8292511,119.10,133.97,96.82,139.82,122.85,112.03,136.07,142.03,86.88,141.84,137.61,134.45,106.85,107.68,133.16,101.10,93.75,134.27,78.99,58.26,82.19,38.93,60.90,73.68,96.88,117.86,103.74,115.23,129.39,101.15,102.19,55.49,106.49,55.00,61.09,88.84,96.52,106.87,98.58,109.60,131.04,103.30,129.58,143.96,97.77,142.61,127.05,138.87,73.37,93.08,30.81,91.53,65.72,92.56,27.11,86.02,29.39,101.50,76.88,67.55,63.92,97.15,110.35,90.35,62.59,59.22,58.43,44.03,29.89,29.98,48.22,61.62,138.51,18.07,116.43,133.53,142.13,148.08,91.71
*C#CC(=C(*)Cn1c2ccc(cc2c2cc(ccc12)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)Cn1c2ccc(cc2c2cc(ccc12)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,c12ccc(CCCCCCCCCCCCCCCC)cc2c3cc(CCCCCCCCCCCCCCCC)ccc3N1CC#CC#CCN4c5ccc(CCCCCCCCCCCCCCCC)cc5c6cc(CCCCCCCCCCCCCCCC)ccc46,-2.237818484,-5.67,-7.33,92.73,-34.72,90.95,137.55,146.72,107.70,74.95,91.50,123.37,115.72,14.80,-72.69,50.12,-111.73,58.03,179.11,-14.24,-24.83,105.15,4.16,27.20,29.76,12.76,-71.67,62.46,-85.48,18.92,71.09,10.70,209.12,103.77,83.27,88.08,97.29,-6.61,-4.65,111.94,-47.70,101.82,147.84,96.78,102.04,56.68,88.46,91.82,122.62,2.32,38.46,96.19,24.32,134.57,81.60,111.44,86.46,77.95,63.75,88.00,100.50,5.15,-45.15,64.15,-55.56,44.69,163.37,16.37,12.40,110.01,34.29,66.08,68.55,-10.72,123.52,53.17,9.42,97.34,7.57,24.74
*C(C*)CCCC(C)C,CC(C)CCCC=C,5.980301023,-3.85,40.24,-31.47,40.99,16.88,6.46,-4.74,-1.34,-22.77,-0.60,-4.74,-4.30,-29.43,38.23,-19.05,22.18,-14.69,-16.57,0.14,-16.15,-39.97,-17.79,7.24,5.45,-16.87,35.76,-6.67,24.91,-2.00,-19.21,4.96,1.34,-35.88,-3.36,0.18,-9.99,-8.95,39.02,-36.46,39.37,-3.56,-0.47,-5.93,0.49,-36.37,-0.25,10.16,2.56,-1.67,35.21,-11.15,29.73,14.27,-0.43,-4.23,-27.37,-11.01,-29.00,-0.98,-14.52,-14.40,46.16,-14.89,23.90,9.59,-22.84,4.74,-1.65,-3.44,2.47,-3.32,13.39,-2.36,-1.60,10.53,-42.57,23.44,20.01,0.74
*N1C(=O)C(CC1=O)Oc1ccc(cc1)N=Cc1ccc(cc1)OC1C(=O)N(C(=O)C1)c1ccc(cc1)Oc1ccc(cc1)*,O=C1C=CC(=O)N1c2ccc(Oc3ccc(cc3)N4C(=O)C=CC4=O)cc2.Oc(cc1)ccc1C=Nc(cc2)ccc2O,154.6342574,221.38,201.13,230.18,205.51,171.71,179.29,278.47,240.09,253.88,246.59,229.30,235.18,208.93,195.02,182.79,196.05,178.24,223.95,156.62,193.43,201.65,191.99,183.76,181.98,188.64,137.48,187.50,139.01,146.96,191.32,166.13,178.64,201.46,179.55,168.45,159.49,209.08,190.76,224.64,198.50,167.24,186.45,269.26,244.09,247.91,251.90,235.53,231.68,202.86,191.60,204.96,184.58,222.97,229.54,164.49,205.31,165.03,213.14,214.71,196.20,237.39,218.09,207.79,228.17,181.01,239.97,182.65,164.77,201.58,160.74,155.41,178.69,215.59,192.56,271.41,204.79,218.44,174.00,204.77
*c1nc(nc(n1)Oc1c(cccc1)C(=O)Oc1ccc(cc1)OC(=O)c1c(cccc1)O*)N(CC)c1ccccc1,CCN(c1ccccc1)c4nc(Oc2ccccc2C(=O)Cl)nc(Oc3ccccc3C(=O)Cl)n4.Oc1ccc(O)cc1,146.7365026,118.09,168.47,186.30,158.77,154.90,118.20,82.75,156.58,125.77,140.86,163.07,84.75,130.47,136.19,144.52,107.11,136.89,148.13,122.70,170.78,160.37,157.50,168.55,160.26,145.19,138.21,146.02,131.52,173.40,121.11,153.03,147.57,170.14,143.70,128.51,128.40,138.89,181.21,179.31,166.93,158.81,175.61,89.39,159.18,143.99,146.51,150.86,134.54,134.77,159.72,144.08,156.20,112.03,191.99,91.18,135.87,107.16,143.34,131.31,109.49,160.60,144.40,172.28,130.75,169.96,171.21,164.31,127.75,186.57,125.44,117.32,155.72,222.56,164.74,193.01,189.38,153.94,155.24,109.48
*c1nc2c(n1CCCS(=O)(=O)O)ccc(c2)c1ccc2c(nc(n2CCCS(=O)(=O)O)c2cc(ccc2)*)c1,,208.6363648,197.90,218.67,136.06,212.43,200.80,210.46,275.10,225.43,201.74,200.99,248.69,203.70,156.92,304.20,153.24,319.21,227.98,182.96,157.76,228.19,230.04,189.21,242.92,237.07,161.16,263.85,161.23,258.14,151.02,177.05,191.30,224.10,208.00,175.40,208.82,191.01,194.77,193.50,139.44,202.03,185.83,206.06,256.76,223.11,149.02,198.62,248.92,197.26,,,,,,,,,,,,,,,,,,,,,,,,,,166.53,,189.39,,270.58,247.43
*OC(=O)C1C(=O)CC(C(=O)C1)C(=O)OCCCCCC*,OCCCCCCO.OC(=O)C1CC(=O)C(CC1=O)C(=O)O,-36.66445232,65.41,63.26,46.69,57.62,37.82,52.27,24.57,36.91,50.57,25.66,39.81,80.45,47.41,153.97,69.51,92.79,41.83,90.28,-1.52,55.21,43.35,34.05,39.36,38.75,13.71,101.48,63.66,81.68,43.17,62.28,42.38,46.84,36.96,31.67,41.22,32.50,72.15,85.84,56.83,80.18,65.86,52.39,22.31,44.81,36.95,26.27,42.50,79.22,56.71,76.25,11.33,75.42,16.39,50.65,22.57,11.30,34.36,13.72,17.94,47.19,7.63,62.60,53.60,25.82,-6.40,30.05,-1.35,50.54,6.90,33.79,31.24,48.63,35.40,20.90,54.97,106.21,-1.76,-16.41,-7.03
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)c1c(cccc1)C(=O)O[Na],O=C(c1ccc(cc1)N(=O)=O)c2ccc(cc2)N(=O)=O.OC(=O)c1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3,169.1341304,200.27,192.95,156.39,183.55,180.40,186.08,205.21,182.57,199.93,186.23,188.00,203.93,177.59,197.15,175.05,197.57,180.02,195.23,170.89,174.81,196.73,155.27,159.84,180.54,159.53,177.43,172.84,166.83,209.97,153.86,84.98,186.83,188.03,154.05,149.09,174.99,183.45,171.99,168.10,148.47,163.94,165.29,184.38,178.47,190.61,181.35,179.00,192.14,203.91,210.44,210.85,195.52,189.22,210.03,169.35,155.80,171.11,157.97,155.58,177.59,232.65,185.37,234.61,198.76,222.56,203.55,222.84,175.07,175.61,163.27,171.64,177.98,249.42,195.93,262.11,188.31,193.64,236.00,174.66
*N(C(=O)CCCCCCCCCCCCCCCCC(=O)N(Cc1ccc(cc1)C*)CC)CC,CCNCc1ccc(CNCC)cc1.OC(=O)CCCCCCCCCCCCCCCCC(=O)O,4.279694171,41.00,7.80,28.63,-2.26,25.27,27.78,35.89,60.72,68.14,57.17,45.52,34.90,3.88,6.19,26.59,-1.39,39.28,58.68,15.67,20.84,42.03,29.86,11.00,-1.83,22.74,5.00,35.39,12.70,45.32,29.61,1.48,6.60,52.59,18.38,24.82,7.84,34.52,29.83,44.38,25.77,30.42,49.21,36.01,58.05,62.73,60.70,59.86,42.53,60.61,15.73,20.32,23.13,64.34,52.66,42.36,61.71,43.90,55.01,54.57,54.62,33.07,24.24,32.75,38.10,36.98,38.23,8.04,-3.27,35.16,13.29,12.12,-0.82,29.76,37.86,39.70,79.01,3.78,29.99,41.64
*c1nc(nc(n1)Oc1ccc(cc1)C(c1ccc(cc1)O*)(C)C)OC,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.n1c(Cl)nc(Cl)nc1(OC),121.2094568,113.61,149.49,136.40,142.62,139.99,181.72,126.50,159.59,125.28,153.39,197.36,183.81,120.83,114.66,121.93,114.53,149.34,166.91,134.64,149.76,112.37,131.75,149.22,159.25,110.37,141.43,123.00,135.66,50.52,143.31,123.63,134.37,108.07,117.89,105.51,121.42,123.63,142.34,139.78,134.90,160.34,171.46,125.16,161.28,127.69,156.55,198.23,191.62,123.30,111.88,154.30,119.44,111.55,109.67,82.72,101.38,132.29,114.45,91.75,83.16,136.08,120.44,144.03,117.81,140.14,155.56,125.91,120.01,130.83,103.62,117.17,122.93,151.09,103.84,175.90,208.33,171.18,173.77,133.33
*OC(=O)NCc1ccc(cc1)CNC(=O)OCCCCCCCC*,OCCCCCCCCO.O=C=NCc1ccc(CN=C=O)cc1,-25.31417235,38.42,26.07,62.27,35.49,35.15,31.78,60.45,19.32,39.36,26.96,35.81,32.97,44.49,55.08,60.19,48.04,29.33,55.16,46.04,75.69,57.53,85.01,41.33,44.98,48.62,63.21,39.50,54.52,37.49,24.23,48.13,76.53,58.48,77.94,56.31,55.92,38.15,43.49,64.18,50.72,34.99,15.43,62.43,24.92,41.39,29.40,44.55,33.36,34.07,41.46,44.01,41.22,35.15,31.16,61.21,59.06,49.51,50.87,51.71,52.58,37.98,35.25,52.48,23.06,28.03,27.23,43.29,36.79,38.39,45.90,22.03,24.41,51.67,45.67,54.98,53.19,69.37,40.60,24.39
*NC(=O)CCCCCCCC(=O)NCCCCCCCCC*,NCCCCCCCCCN.OC(=O)CCCCCCCC(=O)O,9.904824538,40.41,27.27,46.59,30.93,42.86,32.11,45.07,40.53,47.55,39.83,49.03,52.25,52.70,62.47,44.23,66.03,46.92,74.00,45.65,28.72,46.47,30.38,20.02,57.75,51.33,65.72,44.60,65.45,40.22,39.60,50.32,21.11,46.00,20.99,22.36,40.08,42.14,22.71,47.16,32.72,38.28,29.59,45.65,39.98,44.24,40.19,43.08,53.43,46.08,37.53,51.19,45.41,48.91,21.08,47.95,33.23,46.78,37.36,32.17,37.98,50.19,39.96,46.48,40.00,47.99,61.68,53.10,44.28,52.70,50.67,23.96,38.01,54.42,48.79,37.46,37.84,49.29,71.64,55.21
